2019-12-06 10:00:34,329 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:00:44,400 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:00:54,400 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:01:04,401 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:01:14,401 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:01:24,402 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:01:34,403 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:01:44,403 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:01:54,405 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:02:04,406 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:02:14,407 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:02:24,407 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:02:34,408 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:02:44,411 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:02:54,412 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:03:04,412 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:03:14,413 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:03:24,414 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:03:34,414 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:03:44,415 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:03:54,415 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:04:04,416 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:04:14,417 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:04:24,417 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:04:34,418 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:04:44,419 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:04:54,856 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:05:04,857 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
